display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
"DiffSync Summary: Create: 1089, Update: 20, Delete: 113, No Change: 898",4c19b7d5-da6c-4103-b98c-dc68be00073a,extras.joblogentry,unknown,info,sync_data,"DiffSync Summary: Create: 1089, Update: 20, Delete: 113, No Change: 898",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:03.990196+01:00
Syncing from IP Fabric to Nautobot,fa7efab9-fad5-4024-ab00-ccb5a94ea9d3,extras.joblogentry,unknown,info,sync_data,Syncing from IP Fabric to Nautobot,,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:03.992890+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",cc60876a-d3f8-4aef-8e2d-8712c4ff0cdb,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:05.663232+01:00
"Unable to get or create a Platform named gaia, Device named INTERNET-10G-NM will not have a Platform assigned",607cac96-b95b-43a7-af7b-254d65c3e954,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named INTERNET-10G-NM will not have a Platform assigned",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:05.665545+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",baa4ad3b-97ac-4657-9dc2-432d2b03fd0a,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:05.737453+01:00
"Unable to get or create a Platform named gaia, Device named FW1-6400-MGMT-NM will not have a Platform assigned",ca724cab-3b8e-44d9-bbae-8d41383b3f7e,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named FW1-6400-MGMT-NM will not have a Platform assigned",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:05.739432+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",0cd6114d-02ee-447b-a659-fa8bef8ea09a,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:05.956591+01:00
"Unable to get or create a Platform named gaia, Device named FW1-EXTRA-NM will not have a Platform assigned",f0f951f7-1e68-41d9-ab30-a6a8d37080bf,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named FW1-EXTRA-NM will not have a Platform assigned",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:05.959034+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",2ef36f25-07d8-4e07-b832-cbea611c38b8,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:08.605698+01:00
"Unable to get or create a Platform named gaia, Device named FW1-MGMT-LAN-NM will not have a Platform assigned",cca589ce-1e5e-4052-a848-2ab1c75b9b31,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named FW1-MGMT-LAN-NM will not have a Platform assigned",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:08.608149+01:00
